iteration avg-period20001 avg-period5001 avg-period200001 avg-period10001
0 0.09 0.13 0.2 0.16
1 0.1953233830845771 0.1929850746268656 0.1949751243781094 0.19029850746268642
2 0.21256857855361586 0.21112219451371567 0.21498753117206973 0.20950124688279298
3 0.22640599001663905 0.2245091514143097 0.22772046589018313 0.2239933444259568
4 0.23792759051186022 0.23408239700374533 0.23820224719101113 0.2355305867665418
5 0.2467932067932069 0.24256743256743257 0.2487812187812188 0.2458141858141858
6 0.2549542048293089 0.25124895920066614 0.25872606161532063 0.2550457951706911
7 0.2627694503925766 0.25805852962169884 0.26759457530335484 0.26379728765167726
8 0.2709056839475328 0.2660274828232355 0.27645846346033737 0.2725921299188008
9 0.2788784008883954 0.27367018323153813 0.284752915047196 0.2799833425874515
10 0.2863818090954522 0.28057971014492755 0.2919590204897552 0.2869915042478761
11 0.2935665606542479 0.2878691503861882 0.29923216719672885 0.29399818264425254
12 0.300820491461891 0.29513952519783415 0.30608912952936274 0.3013286130778842
13 0.3079546328335257 0.3016416762783546 0.3129411764705883 0.30804306036139956
14 0.3142413423777223 0.30801856479828627 0.3202177793645128 0.314655480185648
15 0.3207397534155282 0.31458180606464503 0.3269510163278907 0.3211696101299569
16 0.3272945954389253 0.32139956263667613 0.33378944079974987 0.3279194001874414
17 0.33356953837106745 0.32829755954131135 0.34049397236107026 0.33473096148191717
18 0.34004443210219376 0.3351124687586781 0.34703693418494863 0.3411857817272979
19 0.3462036306235201 0.3417363851617997 0.3537016574585634 0.3475453827940016
20 0.3523294176455886 0.348220444888778 0.35995001249687575 0.35436890777305663
21 0.35866936443703884 0.3550487979052608 0.3662342299452511 0.36068793144489397
22 0.36469665985003424 0.36180413542376727 0.37254487616450793 0.36728243581004316
23 0.37113018908932843 0.3683329710932406 0.3790567267985223 0.3737774396870245
24 0.37737346386169546 0.3751780878983543 0.3852968131639241 0.3805665486357009
25 0.3838872225554888 0.38201359728054385 0.391625674865027 0.3870625874825036
26 0.3903441645837337 0.4623500000000002 0.3982176504518363 0.39368198423380124
27 0.3968987224588038 0.4761499999999998 0.40493982595815614 0.40017033882614333
28 0.40345474022496 0.48578333333333334 0.4115765041956793 0.4068130690948047
29 0.41032752973625236 0.49497500000000016 0.4180486123082226 0.4135338734700914
30 0.41693051158140315 0.50327 0.4244375937343776 0.42032661223129486
31 0.4238332527011772 0.5103000000000002 0.4310740203193034 0.42723915497500387
32 0.4306342758943915 0.5172142857142856 0.43770192157475385 0.4340946727073894
33 0.43745644599303124 0.5234499999999999 0.44443720648386614 0.44096349038024535
34 0.44435524187619463 0.5299777777777779 0.4511557123952361 0.4477209233936184
35 0.4513055277817454 0.5371950000000001 0.4579502928153123 0.4543365233538064
36 0.4581835856131093 0.5439454545454545 0.464710456880989 0.46111234550756836
37 0.4651763275233079 0.5509499999999999 0.47142413187407106 0.4679989190649912
38 0.47208130509143514 0.5581076923076924 0.4782278647546374 0.4748033153532428
39 0.4788886040251251 0.5649428571428572 0.4850378156646582 0.4815972311242151
40 0.4856092988376454 0.5714666666666668 0.4916547931508562 0.4884064491938507
41 0.4925326179734181 0.5783656250000002 0.49841726618705 0.4952042433849531
42 0.4992477086061183 0.5853382352941171 0.5050053565051782 0.501768837043209
43 0.5058702476456225 0.5923694444444443 0.5116974770375537 0.5083513544936633
44 0.5125042608794457 0.5991894736842108 0.5183001931598683 0.5149539825019884
45 0.5191078769025663 0.6059049999999999 0.5247005888234643 0.5214942784135095
46 0.5256472122595371 0.6123785714285715 0.5311335724377784 0.5279893489838063
47 0.5321423252845444 0.618734090909091 0.5374938836294012 0.5343878310817998
48 0.538477241953963 0.6252326086956522 0.543878762628893 0.5408082491407146
49 0.5447933884297521 0.6317916666666666 0.5501744719926536 0.547146209570452
50 0.5509799020097994 0.6383620000000001 0.556384361563844 0.5533376662333767
51 0.5571149887265955 0.6459798994974877 0.5624634839721594 0.6857499999999999
52 0.5631102778578984 0.6638345864661653 0.5684059225074514 0.702725
53 0.5690321667767193 0.6791986644407346 0.5743137439864161 0.7163833333333334
54 0.5749412091473015 0.6893992490613268 0.5801036941023979 0.7259875000000001
55 0.5807208435596762 0.6964164164164166 0.5858467412053447 0.7338400000000002
56 0.5863931791804304 0.703628023352794 0.5914846888670654 0.7414916666666668
57 0.5919840364880274 0.7096140100071477 0.5969871063941761 0.748192857142857
58 0.5975088354452202 0.7152532833020636 0.6023868632014484 0.7556812499999996
59 0.6029395813914077 0.721061700944969 0.6077205321582916 0.7620833333333333
60 0.6082618115157071 0.7265132566283141 0.6129739188400964 0.7677149999999999
61 0.6135062699778706 0.7317598908594816 0.6181132694041473 0.7731227272727275
62 0.6186347875171357 0.7361650687786576 0.6231892589307315 0.77835
63 0.6237020871359418 0.7409580607926126 0.6281414173478292 0.7827461538461538
64 0.6286297945473011 0.7457484816005716 0.6329575814389501 0.7878428571428568
65 0.6334974232751326 0.7504468156052018 0.6376524882701332 0.7926666666666665
66 0.6382592227861525 0.7550078149421693 0.6422702825543518 0.7972124999999999
67 0.642892321468547 0.7593145042659605 0.6468181478994104 0.8016970588235295
68 0.64743842364532 0.7635871075298691 0.6512859348577312 0.806144444444444
69 0.6518629084848924 0.7680205317188731 0.6557068328382001 0.8104815789473686
70 0.6562431254910364 0.7724506126531634 0.6600349975001787 0.8144149999999997
71 0.6605006689669741 0.7767230292926888 0.6642532216041126 0.8182071428571429
72 0.6646621762377611 0.7808729256649238 0.6683848343865012 0.8221454545454544
73 0.6687117320731456 0.7849467275494671 0.67240805424286 0.8259500000000002
74 0.6727025200999932 0.7890060429256094 0.676353624755084 0.8295645833333333
75 0.676593560429305 0.7928265653130627 0.6802039864009067 0.833156
76 0.6803973422801132 0.7044444444444443 0.6839694756923888 0.8367307692307691
77 0.6840822024543862 0.7251507537688439 0.6876702811505747 0.8401425925925927
78 0.6877065572719697 0.7381772575250837 0.6912749182744699 0.8434910714285716
79 0.6912562496044553 0.7487468671679197 0.6948110879058288 0.8466258620689656
80 0.6947403287294542 0.7566132264529055 0.698267608274483 0.8497750000000001
