iteration rlow-5001 llow-5001 rlow-10001 llow-10001 rlow-20001 llow-20001 rhigh-5001 lhigh-5001 rhigh-10001 lhigh-10001 rhigh-20001 lhigh-20001
0 0.16265625 0.163125 0.16671875 0.15750000000000003 0.16859375 0.16859375 0.15984375 0.1653125 0.17531249999999998 0.168125 0.17078125 0.171875
1 0.1971875 0.20218750000000002 0.21171875 0.2015625 0.2071875 0.21609374999999997 0.20546875 0.21078124999999998 0.21859375 0.20390625 0.20390625 0.21640625
2 0.21921875000000002 0.21734375000000003 0.2396875 0.21703125 0.22874999999999995 0.23374999999999999 0.23421875000000006 0.22796875 0.2328125 0.22156250000000002 0.21937500000000001 0.23765624999999999
3 0.24124999999999996 0.22984374999999999 0.25234375 0.23375000000000004 0.240625 0.25000000000000006 0.24281250000000001 0.24359375000000005 0.25078125 0.2359375 0.23484375000000002 0.2565625
4 0.259375 0.24046874999999995 0.26671875 0.250625 0.25953125 0.26359374999999996 0.25765625000000003 0.25703125 0.26078125 0.2515625 0.2459375 0.26468749999999996
5 0.26890625 0.25234375 0.27609374999999997 0.26859375 0.2728125 0.27703124999999995 0.265 0.27234375 0.28125 0.25421874999999994 0.25625 0.26875
6 0.274375 0.2634375 0.27890625 0.27796875 0.2803125 0.28781249999999997 0.27421874999999996 0.289375 0.2875 0.2684375 0.26421875000000006 0.2753125
7 0.28578125 0.27937500000000004 0.28593749999999996 0.28828125000000004 0.29343749999999996 0.29828125 0.286875 0.29921875 0.29921875 0.2859375 0.27484375 0.29312499999999997
8 0.30218750000000005 0.29265625000000006 0.30109375000000005 0.30421875000000004 0.30124999999999996 0.3125 0.29921875 0.31046875 0.315 0.29671875000000003 0.28156250000000005 0.3056249999999999
9 0.31203125 0.30515624999999996 0.308125 0.3125 0.31671874999999994 0.32890625 0.31281249999999994 0.31140625 0.323125 0.30359375 0.28656249999999994 0.31625000000000003
10 0.31859374999999995 0.30999999999999994 0.31953125000000004 0.32140625 0.31515624999999997 0.32546875 0.3204687500000001 0.320625 0.3359375 0.3146875 0.29765625000000007 0.3265625
11 0.3284375 0.31687499999999996 0.3296875 0.3246875 0.3334375 0.32843750000000005 0.32562500000000005 0.33484375000000005 0.3403125 0.32781249999999995 0.30328125000000006 0.34328125
12 0.33796875 0.3353125 0.33781249999999996 0.3403125 0.34046875 0.3315625 0.32984375 0.33640625 0.34968749999999993 0.3375 0.30953125 0.34859375000000004
13 0.35609375 0.350625 0.34687499999999993 0.3465625 0.35140625000000003 0.351875 0.340625 0.35453125 0.3575 0.34124999999999994 0.31765625000000003 0.35703125
14 0.373125 0.35546875 0.36 0.34906249999999994 0.36515624999999996 0.3559375 0.34937500000000005 0.36171875 0.37468749999999995 0.34781249999999997 0.32734375000000004 0.36124999999999996
15 0.3859375 0.365625 0.36812500000000004 0.3640625 0.37156249999999996 0.37015625 0.35921875000000003 0.36359375 0.38703125 0.35921875 0.3409375 0.36828125
16 0.3925 0.3878125 0.37249999999999994 0.36875 0.38109375 0.3759374999999999 0.369375 0.38140624999999995 0.39921875 0.37187500000000007 0.3459375 0.38390625
17 0.4035937499999999 0.40015625000000005 0.38421874999999994 0.37921875000000005 0.39281250000000006 0.3784375 0.3771875 0.39843749999999994 0.41 0.38046875 0.34796875000000005 0.39187500000000003
18 0.41531250000000003 0.4101562500000001 0.3921875 0.3921875 0.405625 0.3975000000000001 0.390625 0.4090625 0.4184375 0.38828125 0.36265625 0.39718749999999997
19 0.425625 0.41921875000000003 0.39921875 0.40374999999999994 0.41671874999999997 0.4096875 0.39453124999999994 0.425 0.42453124999999997 0.39734375 0.37 0.40890624999999997
20 0.4340625 0.42828125000000006 0.40609375000000003 0.42234375 0.42328125000000005 0.42015624999999995 0.39640624999999996 0.43375 0.4323437500000001 0.40718750000000004 0.38109374999999995 0.41359375
21 0.44750000000000006 0.43828125 0.41593749999999996 0.43093750000000003 0.43640625 0.42703125000000003 0.4103125 0.44515625000000003 0.44671874999999994 0.42046874999999995 0.391875 0.4284374999999999
22 0.45640625 0.44718749999999996 0.42874999999999996 0.44515625 0.44296875 0.44281249999999994 0.42406249999999995 0.4501562499999999 0.45562500000000006 0.42984375 0.39859374999999997 0.43828125
23 0.4639062500000001 0.46031249999999996 0.4362500000000001 0.4515625 0.45921875000000006 0.45703125 0.43609375000000006 0.4578125 0.4707812500000001 0.44562500000000005 0.4096875 0.45515624999999993
24 0.4828125000000001 0.4687500000000001 0.4515625 0.4579687499999999 0.46765625 0.4759375 0.44343750000000004 0.46968750000000004 0.49031249999999993 0.4574999999999999 0.4175000000000001 0.4696874999999999
25 0.49421875000000004 0.48203125 0.45953125000000006 0.45999999999999996 0.4728125 0.48671875 0.459375 0.475 0.5046875000000001 0.45906249999999993 0.42750000000000005 0.4726562499999999
26 0.37328125 0.37640625000000005 0.47046875000000005 0.47093749999999995 0.48578125000000005 0.49937499999999996 0.35609375 0.44312499999999994 0.518125 0.473125 0.4328125 0.48374999999999996
27 0.38953125 0.38687499999999997 0.47671874999999997 0.47953124999999996 0.4995312500000001 0.5081249999999999 0.38359375000000007 0.4443750000000001 0.53109375 0.48656249999999995 0.44593750000000004 0.48875
28 0.4015625 0.39921875000000007 0.48296875000000006 0.4871875 0.5121874999999999 0.5165625 0.399375 0.438125 0.5345312499999999 0.49484374999999997 0.4703125 0.4948437500000001
29 0.416875 0.41109375000000004 0.4965624999999999 0.4931249999999999 0.526875 0.521875 0.4103125 0.44421875 0.54609375 0.50859375 0.48046875 0.50875
30 0.42765624999999996 0.41375 0.50625 0.5037499999999999 0.54078125 0.5334375 0.41624999999999995 0.45078125 0.5584375 0.52015625 0.48953125000000003 0.52890625
31 0.42781250000000004 0.42140625 0.52421875 0.51046875 0.5549999999999999 0.5435937499999999 0.42578125 0.4609375 0.570625 0.5248437499999999 0.50046875 0.53921875
32 0.43796875 0.43640625 0.5365624999999999 0.5170312499999999 0.5664062500000001 0.54921875 0.43046875 0.4696874999999999 0.5790625 0.5378125 0.51109375 0.5525
33 0.45046875000000003 0.44000000000000006 0.55171875 0.53234375 0.5779687499999999 0.5610937500000001 0.4359375 0.46953125 0.5935937499999999 0.5490625 0.52578125 0.56375
34 0.458125 0.43890624999999994 0.5654687500000001 0.536875 0.5898437500000001 0.57125 0.45453124999999994 0.47281249999999997 0.6060937500000001 0.55421875 0.54265625 0.57703125
35 0.46296875000000004 0.45203125 0.57984375 0.55328125 0.5959375 0.586875 0.46375 0.48328125 0.6215625 0.56359375 0.55234375 0.5895312500000001
36 0.47078125000000004 0.4609375 0.5859375 0.5660937499999998 0.6100000000000001 0.59609375 0.47093749999999995 0.49124999999999996 0.6290625000000001 0.57671875 0.565625 0.5968749999999999
37 0.47984374999999996 0.4715625 0.60109375 0.573125 0.620625 0.60828125 0.4721875 0.49874999999999997 0.6384375 0.5964062499999999 0.5745312499999999 0.605
38 0.49171875 0.4809375 0.60625 0.5828125 0.6356249999999999 0.621875 0.4885937499999999 0.5076562499999999 0.6435937499999999 0.609375 0.588125 0.6184375
39 0.5020312499999999 0.49546875 0.6142187499999999 0.59390625 0.64046875 0.63140625 0.5096875 0.5154687499999999 0.6565624999999999 0.62015625 0.5975 0.6253124999999999
40 0.5142187500000001 0.50546875 0.6209375 0.6064062499999999 0.6507812499999999 0.639375 0.5159374999999999 0.5290625 0.6684375 0.63046875 0.608125 0.634375
41 0.52015625 0.51859375 0.6307812500000001 0.6160937499999999 0.661875 0.64796875 0.5306249999999999 0.536875 0.67546875 0.6439062499999999 0.6159375 0.64578125
42 0.52671875 0.53453125 0.6365625 0.6262500000000001 0.6740625000000001 0.65890625 0.546875 0.54875 0.6835937499999999 0.6551562499999999 0.62390625 0.65546875
43 0.540625 0.53953125 0.6478124999999999 0.63671875 0.68265625 0.670625 0.56515625 0.55046875 0.6901562499999999 0.668125 0.64015625 0.6670312500000001
44 0.5428124999999999 0.548125 0.6549999999999999 0.6490625000000001 0.69296875 0.67515625 0.57015625 0.5575 0.69421875 0.6764062500000001 0.6487499999999999 0.6754687500000001
45 0.5521874999999999 0.5553125000000001 0.66328125 0.6553125000000001 0.6996874999999999 0.67921875 0.5874999999999999 0.5703124999999999 0.70078125 0.6887500000000001 0.6557812499999999 0.6859374999999999
46 0.5639062499999999 0.56390625 0.67484375 0.66515625 0.7075 0.6834375 0.59296875 0.5834375 0.7084375 0.6946875 0.6631250000000001 0.6971875000000001
47 0.57 0.574375 0.6835937500000001 0.67203125 0.7151562499999999 0.69640625 0.60203125 0.58828125 0.7139062500000001 0.7015624999999999 0.6732812499999999 0.6995312499999999
48 0.58375 0.57765625 0.6915625 0.6725 0.7226562499999999 0.7084375 0.6153125 0.59484375 0.7215625 0.7090625 0.6787499999999999 0.7092187499999999
49 0.5946874999999999 0.5873437499999999 0.69703125 0.6842187500000001 0.7300000000000001 0.7185937499999999 0.624375 0.6053125 0.7342187499999999 0.7190624999999999 0.69015625 0.71640625
50 0.5985937499999999 0.5975 0.70125 0.6884375 0.7382812500000001 0.7271875000000001 0.628125 0.6107812499999999 0.7420312499999999 0.7278125 0.69421875 0.7226562499999999
51 0.42218750000000005 0.46109375 0.49874999999999997 0.50578125 0.7446875 0.733125 0.4534375 0.578125 0.5359375 0.671875 0.7059375 0.7285937499999999
52 0.45 0.47000000000000003 0.5257812500000001 0.51953125 0.7481250000000002 0.7321875 0.47874999999999995 0.57765625 0.56046875 0.6673437499999999 0.7164062500000001 0.7378125000000001
53 0.46359374999999997 0.47890625 0.53859375 0.5290625000000001 0.75453125 0.7403124999999999 0.47609375 0.58 0.57796875 0.6670312500000001 0.7218749999999999 0.7439062500000001
54 0.473125 0.4878125 0.5540624999999999 0.53484375 0.7582812499999999 0.7506250000000001 0.4809374999999999 0.5774999999999999 0.58625 0.6693749999999998 0.72875 0.7481250000000002
55 0.48234374999999996 0.50125 0.56015625 0.5446875 0.7649999999999999 0.75421875 0.499375 0.5803125 0.5928125 0.673125 0.7309374999999999 0.75375
56 0.48296874999999995 0.50546875 0.55859375 0.55 0.7714062500000001 0.759375 0.50234375 0.5876562499999999 0.59671875 0.675 0.7337499999999999 0.7612500000000001
57 0.49328125 0.5031249999999999 0.56640625 0.56234375 0.77921875 0.764375 0.50671875 0.58671875 0.6003125 0.67671875 0.73734375 0.7703125
